,company,url,label
0,nirav modi,https://www.thehindu.com/news/national/pnb-fraud-case-london-court-rejects-nirav-modis-bail-application-for-seventh-time/article32945915.ece,none
1,nirav modi,https://www.tribuneindia.com/news/nation/london-court-rejects-nirav-modis-bail-application-for-seventh-time-161438,none
2,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-scam-cbi-books-ex-pnb-manager-gokulnath-shetty-in-bribery-case/story/419414.html,none
3,nirav modi,https://www.financialexpress.com/lifestyle/scam-report-a-revelation-on-how-white-collar-crimes-happen-and-why/2112984/,none
4,nirav modi,https://www.hindustantimes.com/india-news/nirav-modi-made-death-threats-offered-bribe-to-witnesses-prosecutor-tells-uk-court/story-Vrw0MulMy7KmnrXJiS0AwM.html,none
5,nirav modi,https://scroll.in/article/869268/instrument-to-acquire-power-why-corruption-has-become-the-central-political-issue-in-india-today,none
6,nirav modi,https://timesofindia.indiatimes.com/world/uk/prosecution-outlines-fraud-and-money-laundering-charges-against-nirav-modi-in-london-courts/articleshow/75683392.cms,none
7,nirav modi,https://sambadenglish.com/not-just-scam-1992-5-instances-when-the-indian-stock-market-hit-by-fraudsters/,none
8,nirav modi,https://www.ndtv.com/business/pnb-fraud-nirav-modi-gave-gold-jewellery-in-bribe-to-bank-official-says-cbi-1819278,none
9,nirav modi,https://timesofindia.indiatimes.com/business/india-business/nirav-modi-case-fresh-cbi-chargesheet-against-retired-pnb-official-for-disproportionate-assets/articleshow/78444657.cms,none
10,nirav modi,https://www.telegraph.co.uk/news/0/inside-story-telegraph-caught-worlds-most-wanted-billionaire/,none
11,nirav modi,https://www.deccanherald.com/business/business-news/nirav-modi-faces-suicide-risk-politically-biased-trial-in-india-uk-court-told-884464.html,none
12,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-assets-worth-rs-330-crore-seized-include-flats-in-mumbai-london-uae/story/409303.html,none
13,nirav modi,https://www.aninews.in/news/world/asia/following-week-of-high-drama-nirav-modi-trial-adjourned-until-september20200515172250,none
14,nirav modi,https://www.businesstoday.in/current/economy-politics/nirav-modi-mehul-choksi-case-ed-brings-back-rs-1350-cr-of-diamonds-pearls-from-hong-kong/story/406558.html,none
15,nirav modi,https://economictimes.indiatimes.com/news/politics-and-nation/pnb-fraud-case-nirav-modi-to-appear-via-videolink-at-uk-court/articleshow/72363443.cms,none
16,nirav modi,https://thewire.in/law/netflix-bad-boy-billionaires-release-restrained-satyam-scam-ramalinga-raju-stay,none
17,nirav modi,https://www.businesstoday.in/current/corporate/pnb-fraud-ed-files-fresh-charge-sheet-to-boost-mehul-choksis-extradition-chances/story/410420.html,none
18,nirav modi,https://www.oneindia.com/international/nirav-modi-faces-high-risk-of-suicide-his-lawyer-tells-uk-court-3146183.html,none
19,nirav modi,https://www.hindustantimes.com/india-news/cbi-asks-us-for-info-on-convicted-nris/story-MsX6GVsEVbTvVJyJtQbzTM.html,none
20,nirav modi,https://timesofindia.indiatimes.com/business/india-business/interpol-issues-red-corner-notice-against-nirav-modis-wife/articleshow/77752648.cms,none
21,nirav modi,https://www.gqindia.com/get-smart/content/vijay-mallya-pnb-nirav-modi-10-biggest-scams-in-india-that-sucked-the-country-dry-of-money,none
22,nirav modi,https://timesofindia.indiatimes.com/business/india-business/nirav-modi-threatened-to-kill-top-exec-cbi/articleshow/72910161.cms,none
23,nirav modi,https://www.law360.com/articles/1269113/modi-and-2-diamond-execs-say-no-grounds-for-ch-11-suit,none
24,nirav modi,https://www.businesstoday.in/current/economy-politics/bjp-govt-waived-rs-68607-crore-of-bank-loan-defaulters-alleges-congress/story/402270.html,none
